7zip 26.02-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
amd-ucode 20260622-1
aom 3.14.1-1
apparmor 4.1.7-1
appstream 1.1.3-1
appstream-qt 1.1.3-1
archlinux-appstream-data 20260606-1
archlinux-keyring 20260707.1-1
argon2 20190702-6
ark 26.04.3-1
at-spi2-core 2.60.5-1
attica 6.28.0-1
attr 2.6.0-1
audit 4.1.4-2
aurorae 6.7.3-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
baloo 6.28.0-1
baloo-widgets 26.04.3-1
base 3-3
base-devel 1-2
bash 5.3.15-1
binutils 2.46.1+r3+g046eeeef4721-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.7.3-1
bluez 5.87-2
bluez-libs 5.87-2
bluez-qt 6.28.0-1
bluez-utils 5.87-2
bolt 0.9.11-1
boost-libs 1.91.0-1
botan 3.12.0-1
breeze 6.7.3-1
breeze-cursors 6.7.3-1
breeze-gtk 6.7.3-1
breeze-icons 6.28.0-1
breeze-plymouth 6.7.3-1
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
cabextract 1.11-3
cairo 1.18.4-1
capstone 5.0.9-1
cbindgen 0.29.4-1
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.6.4-1
cider 4.0.9.1-1
cifs-utils 7.5-1
clang 22.1.8-1
clinfo 3.0.25.02.14-1
compiler-rt 22.1.8-1
composefs 1.0.8-1
convertlit 1.8-13
coreutils 9.11-2
cpio 2.15-3
cpupower 7.1.3-1
cronie 1.7.2-2
cryptsetup 2.8.6-1
curl 8.21.0-1
cxx-rust-cssparser 1.0.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.7-1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
